EXCHANGE%3DBVMF
MARKET_OPEN_MINUTE=600
MARKET_CLOSE_MINUTE=1016
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-180
a1473191760,13.98,13.98,13.53,13.69,41469800
2,14.22,14.29,13.96,14.07,42521700
3,13.51,14.02,13.51,13.96,42394100
6,13.95,13.95,13.27,13.32,44001900
7,13.01,13.85,12.94,13.7,63836600
8,13.11,13.36,12.97,13.15,43701300
9,13.51,13.56,13.16,13.21,42013500
10,13.16,13.42,13.16,13.34,44390800
13,13.05,13.54,13.02,13.42,50843600
14,13.5,13.63,13.33,13.45,51793200
15,13.66,13.69,13.4,13.6,60692700
16,14,14.09,13.84,13.89,47350800
17,13.69,13.98,13.54,13.98,52484600
20,13.4,13.69,13.39,13.59,35279500
21,13.12,13.4,12.87,13.4,57601700
22,13.85,13.85,13.12,13.3,68638800
23,13.43,13.9,13.43,13.8,52739800
24,13.57,13.77,13.44,13.53,38771900
27,13.97,13.97,13.62,13.67,34213400
28,14.02,14.12,13.83,13.98,39164500
29,14.58,14.64,14.16,14.19,64885900
30,15.1,15.1,14.62,14.71,76742600
31,15.26,15.38,14.97,15.23,71451100
34,15.73,15.77,15.51,15.52,38276900
35,15.39,15.66,15.29,15.61,67922200
37,15.76,15.82,15.03,15.19,57948800
38,16.26,16.29,15.98,16.01,65860200
TIMEZONE_OFFSET=-120
a1476730560,16.9,16.9,16.07,16.24,75002000
1,17.42,17.64,17.18,17.21,76995000
